"producto","Categoría Principal","Subcategoría / Tipo","Serie"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CJ1"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CJP"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CJP2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CJ2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","JCM"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CM2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CM3"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CG1"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","CG3"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Redondo","NCM"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","JMB"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","MB"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","MB1"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","MB2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","CA2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","CS1"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","CS2"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","C96"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","C96SD"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","CP96"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","CP96SD"
"Cilindros Neumáticos","Cilindros de Aire Estándar","Tipo Cubierta Cuadrada","NCA1"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CU"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CUJ"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CQS"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CQ2"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","JCQ"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CQE"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","RQ"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CQM"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","CQU"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","MU"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","C55"
"Cilindros Neumáticos","Cilindros Compactos","Diseño Compacto","NCQ8"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Acero Inoxidable/Especiales","CM5"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Acero Inoxidable/Especiales","CJ5-S"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Acero Inoxidable/Especiales","CG5-S"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Acero Inoxidable/Especiales","HF2A-CG5"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Otros Ambientes","HYB"
"Cilindros Neumáticos","Cilindros Resistentes al Ambiente","Otros Ambientes","HYD"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Mecánico","MY1"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Mecánico","MY2"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Mecánico","MY3"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CY1"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CY1S"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CY1F"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CY3"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CY3B"
"Cilindros Neumáticos","Cilindros sin Vástago","Acoplamiento Magnético","CYP"
"Cilindros Neumáticos","Cilindros de Mesa y con Guía","Cilindros de Mesa","MXH"
"Cilindros Neumáticos","Cilindros de Mesa y con Guía","Cilindros de Mesa","MXH2"
"Cilindros Neumáticos","Cilindros de Mesa y con Guía","Cilindros de Mesa","MXZ"
